# Suite Report: task79-rabitq-multirep-block32

- config: `reviews/task-79/029-rabitq-multirep-benchmark/suite-rabitq-multirep-block32.json`
- config_sha256: `8838382cbf85b2eafa4cf2ffeef0e33ab6dbece45a0e2f61a679610e35af5e4c`
- dry_run: `false`
- steps: completed 9, failed 0, skipped 0, dry-run 0, missing artifacts 0, stale 0

| Step | Kind | Status | Duration ms | Artifacts |
| --- | --- | --- | ---: | --- |
| precheck-existing-task79-surface | raw | Succeeded | 36 | `reviews/task-79/029-rabitq-multirep-benchmark/artifacts/precheck-existing-task79-surface.log` |
| rebuild-100k-rabitq-n128-f8-b0-tg96-block32-multirep | raw | Succeeded | 16636 | `reviews/task-79/029-rabitq-multirep-benchmark/artifacts/rebuild-100k-rabitq-n128-f8-b0-tg96-block32-multirep.log` |
| pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global0-rw0 | spire-pipeline | Succeeded | 154049 | `reviews/task-79/029-rabitq-multirep-benchmark/artifacts/pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global0-rw0.log`<br>`reviews/task-79/029-rabitq-multirep-benchmark/artifacts/funnel-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global0-rw0.jsonl` |
| pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global512-rw0 | spire-pipeline | Succeeded | 125142 | `reviews/task-79/029-rabitq-multirep-benchmark/artifacts/pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global512-rw0.log`<br>`reviews/task-79/029-rabitq-multirep-benchmark/artifacts/funnel-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global512-rw0.jsonl` |
| pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global512-rw025 | spire-pipeline | Succeeded | 126582 | `reviews/task-79/029-rabitq-multirep-benchmark/artifacts/pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global512-rw025.log`<br>`reviews/task-79/029-rabitq-multirep-benchmark/artifacts/funnel-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global512-rw025.jsonl` |
| pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global640-rw0 | spire-pipeline | Succeeded | 129409 | `reviews/task-79/029-rabitq-multirep-benchmark/artifacts/pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global640-rw0.log`<br>`reviews/task-79/029-rabitq-multirep-benchmark/artifacts/funnel-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global640-rw0.jsonl` |
| pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global640-rw025 | spire-pipeline | Succeeded | 128083 | `reviews/task-79/029-rabitq-multirep-benchmark/artifacts/pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global640-rw025.log`<br>`reviews/task-79/029-rabitq-multirep-benchmark/artifacts/funnel-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global640-rw025.jsonl` |
| pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global768-rw0 | spire-pipeline | Succeeded | 130376 | `reviews/task-79/029-rabitq-multirep-benchmark/artifacts/pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global768-rw0.log`<br>`reviews/task-79/029-rabitq-multirep-benchmark/artifacts/funnel-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global768-rw0.jsonl` |
| pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global768-rw025 | spire-pipeline | Succeeded | 132733 | `reviews/task-79/029-rabitq-multirep-benchmark/artifacts/pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global768-rw025.log`<br>`reviews/task-79/029-rabitq-multirep-benchmark/artifacts/funnel-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global768-rw025.jsonl` |

## Parsed Results

| Step | Kind | Metric | Values |
| --- | --- | --- | --- |
| pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global0-rw0 | spire-pipeline | spire-pipeline | `field=tuple_transport_capabilities`, `prefix=task79_surface_100k`, `storage_format=rabitq`, `suite_database=task79_spire_candidate_surface`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=pg_binary_attr_v1` |
| pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global0-rw0 | spire-pipeline | spire-pipeline | `field=tuple_transport_default`, `prefix=task79_surface_100k`, `storage_format=rabitq`, `suite_database=task79_spire_candidate_surface`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=pg_binary_attr_v1` |
| pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global0-rw0 | spire-pipeline | spire-pipeline | `field=tuple_transport_status`, `prefix=task79_surface_100k`, `storage_format=rabitq`, `suite_database=task79_spire_candidate_surface`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=ready` |
| pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global0-rw0 | spire-pipeline | spire-pipeline | `field=pg_binary_attr_v1_ready`, `prefix=task79_surface_100k`, `storage_format=rabitq`, `suite_database=task79_spire_candidate_surface`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=true` |
| pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global0-rw0 | spire-pipeline | spire-pipeline | `field=status`, `prefix=task79_surface_100k`, `storage_format=rabitq`, `suite_database=task79_spire_candidate_surface`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=ready` |
| pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global0-rw0 | spire-pipeline | spire-pipeline | `field=recommendation`, `prefix=task79_surface_100k`, `storage_format=rabitq`, `suite_database=task79_spire_candidate_surface`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `value=none` |
| pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global0-rw0 | spire-pipeline | spire-pipeline | `leaf_dim=0.010000`, `nprobe=96`, `page=1.000000`, `prefix=task79_surface_100k`, `rerank_effective=1.000000`, `rerank_guc=1.350000`, `rerank_width=25`, `routing_dim=0.010000`, `storage=rabitq`, `storage_effective=0.450000`, `storage_format=rabitq`, `storage_guc=1.000000`, `store_fanout=0.050000`, `suite_database=task79_spire_candidate_surface`, `suite_host=/home/peter/.pgrx`, `suite_port=28818` |
| pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global0-rw0 | spire-pipeline | spire-pipeline | `adaptive=disabled`, `beam_width=96`, `deduped_route_sum=19200`, `effective_nprobe=96`, `expanded_parent_sum=1600`, `input_frontier_sum=1600`, `level=1`, `max_leaf_routes=96`, `max_routing_expansions=128`, `nprobe=96`, `prefix=task79_surface_100k`, `queries=200`, `selected_child_sum=25600`, `source=session`, `storage_format=rabitq`, `suite_database=task79_spire_candidate_surface`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `truncation=max_leaf_routes` |
| pipeline-100k-rabitq-n128-f8-b0-tg96-block32-multirep-global0-rw0 | spire-pipeline | spire-pipeline | `adaptive=disabled`, `beam_width=96`, `deduped_route_sum=1600`, `effective_nprobe=96`, `expanded_parent_sum=200`, `input_frontier_sum=200`, `level=2`, `max_leaf_routes=96`, `max_routing_expansions=128`, `nprobe=96`, `prefix=task79_surface_100k`, `queries=200`, `selected_child_sum=1600`, `source=session`, `storage_format=rabitq`, `suite_database=task79_spire_candidate_surface`, `suite_host=/home/peter/.pgrx`, `suite_port=28818`, `truncation=none` |
